Date,diversification_ratio
2021-07-26,1.6372587985908094
2021-07-27,1.6387094814414058
2021-07-28,1.6446971139973987
2021-07-29,1.6469994071915557
2021-07-30,1.648180581369648
2021-08-02,1.6568311544934997
2021-08-03,1.658680526833204
2021-08-04,1.6544785747873754
2021-08-05,1.6515994871287076
2021-08-06,1.665964917869856
2021-08-09,1.6543619080417773
2021-08-10,1.675700271119502
2021-08-11,1.681450489482319
2021-08-12,1.7992255872422414
2021-08-13,1.7917508317264597
2021-08-16,1.8736076605945755
2021-08-17,1.8642185650768512
2021-08-18,1.8362895380554265
2021-08-19,1.84060017494044
2021-08-20,1.8777587182343245
2021-08-23,1.88331598749559
2021-08-24,1.865217828145579
2021-08-25,1.8745925279572695
2021-08-26,1.8765073455615071
2021-08-27,1.864724798914062
2021-08-30,1.8152967640271926
2021-08-31,1.8067883244319445
2021-09-01,1.8113720389792984
2021-09-02,1.8454070080237905
2021-09-03,1.912197853787824
2021-09-07,1.9250001341241239
2021-09-08,1.90432322283249
2021-09-09,1.9059687782045136
2021-09-10,1.933941438945172
2021-09-13,1.9184513669207126
2021-09-14,1.904696102207211
2021-09-15,1.9177497303957578
2021-09-16,1.9550761383404593
2021-09-17,1.8913037538732067
2021-09-20,1.8095746407847266
2021-09-21,1.7917746359963223
2021-09-22,1.7926012229343748
2021-09-23,1.7718883334570519
2021-09-24,1.8285106973784033
2021-09-27,1.8192746690768962
2021-09-28,1.8222182612458813
2021-09-29,1.7031931934420776
2021-09-30,1.7050914291732409
2021-10-01,1.7249472263426249
2021-10-04,1.7224204847393147
2021-10-05,1.7072345941350213
2021-10-06,1.7130763602262484
2021-10-07,1.716594268062098
2021-10-08,1.7138150452287009
2021-10-11,1.7147438783581332
2021-10-12,1.7116790646620395
2021-10-13,1.7179237305874893
2021-10-14,1.6863484942196123
2021-10-15,1.6660887078581912
2021-10-18,1.639545739966289
2021-10-19,1.6372612531740611
2021-10-20,1.6330849290358123
2021-10-21,1.641213733789586
2021-10-22,1.6348772262822118
2021-10-25,1.6372678482846457
2021-10-26,1.6254835857417165
2021-10-27,1.6275824255212599
2021-10-28,1.6460689118036513
2021-10-29,1.645064122309045
2021-11-01,1.640758769446514
2021-11-02,1.64632885363312
2021-11-03,1.6466237601372038
2021-11-04,1.6592988617996336
2021-11-05,1.6691305063547788
2021-11-08,1.6603851436032742
2021-11-09,1.6594008452398505
2021-11-10,1.6685411517374684
2021-11-11,1.643676809478657
2021-11-12,1.6491615798616976
2021-11-15,1.6473270822413975
2021-11-16,1.6564221168609055
2021-11-17,1.6622642475245957
2021-11-18,1.6603603970409357
2021-11-19,1.653831857036542
2021-11-22,1.6909174843888233
2021-11-23,1.6609616593011793
2021-11-24,1.663965009149886
2021-11-26,1.67294623318985
2021-11-29,1.7405570116455875
2021-11-30,1.7480637842088318
2021-12-01,1.7568687199552786
2021-12-02,1.7621732545453594
2021-12-03,1.7479543643881816
2021-12-06,1.7540858761833196
2021-12-07,1.7691345137132404
2021-12-08,1.7419851445302192
2021-12-09,1.7442578911236575
2021-12-10,1.7443725612457062
2021-12-13,1.741791855317607
2021-12-14,1.7480569562417505
2021-12-15,1.735848914305882
2021-12-16,1.7366849373326019
2021-12-17,1.7696307337638761
2021-12-20,1.7720246497684438
2021-12-21,1.7507801605508277
2021-12-22,1.742919650936604
2021-12-23,1.6967898206642582
2021-12-27,1.6998976515334785
2021-12-28,1.681096657399909
2021-12-29,1.763803653723052
2021-12-30,1.7585058827469664
2021-12-31,1.7475987522032093
2022-01-03,1.7610510756426487
2022-01-04,1.7898302897153053
2022-01-05,1.789400379572591
2022-01-06,1.727427469021146
2022-01-07,1.7246294282108932
2022-01-10,1.7268187723045811
2022-01-11,1.7325398873109283
2022-01-12,1.695735102262441
2022-01-13,1.7091520975557606
2022-01-14,1.7317223283737402
2022-01-18,1.7282138540915293
2022-01-19,1.6931913569545547
2022-01-20,1.7009384630223325
2022-01-21,1.7026273465092148
2022-01-24,1.7067322714190867
2022-01-25,1.7103165884479312
2022-01-26,1.7104422869494835
2022-01-27,1.704688314977862
2022-01-28,1.709978169599392
2022-01-31,1.6991464351792296
2022-02-01,1.6767517123323317
2022-02-02,1.672768348900721
2022-02-03,1.6638741866556475
2022-02-04,1.6158374216505322
2022-02-07,1.6294077167451857
2022-02-08,1.640433914128985
2022-02-09,1.6423736041902055
2022-02-10,1.6168926079002304
2022-02-11,1.5914187608160208
2022-02-14,1.6222423967969541
2022-02-15,1.6273254581621122
2022-02-16,1.6422847294008902
2022-02-17,1.6391405943912496
2022-02-18,1.6456876406037249
2022-02-22,1.649444065155783
2022-02-23,1.6450221030678542
2022-02-24,1.6361982515339841
2022-02-25,1.6463992880605782
2022-02-28,1.6315960889207555
2022-03-01,1.6150912119715528
2022-03-02,1.6507340829812627
2022-03-03,1.686350586110476
2022-03-04,1.6899094999603823
2022-03-07,1.7387709719527742
2022-03-08,1.699991816880817
2022-03-09,1.7087404708652678
2022-03-10,1.8203255698941494
2022-03-11,1.8071243840269837
2022-03-14,1.8041627789162895
2022-03-15,1.7898422766068411
2022-03-16,1.7940799859562322
