Date,rolling_mdd
2021-08-11,-0.06222042918201496
2021-08-12,-0.06222042918201495
2021-08-13,-0.06222042918201484
2021-08-16,-0.06222042918201491
2021-08-17,-0.06222042918201488
2021-08-18,-0.06222042918201503
2021-08-19,-0.06222042918201502
2021-08-20,-0.062220429182014876
2021-08-23,-0.06222042918201508
2021-08-24,-0.06222042918201485
2021-08-25,-0.06222042918201493
2021-08-26,-0.062220429182014994
2021-08-27,-0.062220429182014925
2021-08-30,-0.06222042918201507
2021-08-31,-0.062220429182014834
2021-09-01,-0.06222042918201493
2021-09-02,-0.0622204291820149
2021-09-03,-0.0485227482399759
2021-09-07,-0.048522748239975926
2021-09-08,-0.04852274823997598
2021-09-09,-0.048522748239975974
2021-09-10,-0.04852274823997589
2021-09-13,-0.04852274823997595
2021-09-14,-0.04852274823997578
2021-09-15,-0.04852274823997582
2021-09-16,-0.048522748239975794
2021-09-17,-0.0485227482399758
2021-09-20,-0.04852274823997592
2021-09-21,-0.048522748239975794
2021-09-22,-0.04852274823997578
2021-09-23,-0.048522748239975794
2021-09-24,-0.04852274823997582
2021-09-27,-0.04852274823997581
2021-09-28,-0.04852274823997584
2021-09-29,-0.048522748239975814
2021-09-30,-0.04852274823997582
2021-10-01,-0.048522748239975835
2021-10-04,-0.04852274823997594
2021-10-05,-0.04852274823997585
2021-10-06,-0.04852274823997594
2021-10-07,-0.04852274823997588
2021-10-08,-0.04852274823997594
2021-10-11,-0.04852274823997592
2021-10-12,-0.048522748239975974
2021-10-13,-0.046446488116569776
2021-10-14,-0.04644648811656991
2021-10-15,-0.04644648811656978
2021-10-18,-0.04644648811656972
2021-10-19,-0.04644648811656993
2021-10-20,-0.04644648811656989
2021-10-21,-0.046446488116569734
2021-10-22,-0.046446488116569824
2021-10-25,-0.04644648811656982
2021-10-26,-0.04644648811656975
2021-10-27,-0.046446488116569706
2021-10-28,-0.046446488116569734
2021-10-29,-0.04644648811656988
2021-11-01,-0.046446488116569755
2021-11-02,-0.04644648811656986
2021-11-03,-0.04644648811656971
2021-11-04,-0.04644648811656977
2021-11-05,-0.04644648811656974
2021-11-08,-0.046446488116569706
2021-11-09,-0.04644648811656991
2021-11-10,-0.046446488116569803
2021-11-11,-0.04644648811656976
2021-11-12,-0.046446488116569866
2021-11-15,-0.04644648811656971
2021-11-16,-0.046446488116569845
2021-11-17,-0.04644648811656989
2021-11-18,-0.04644648811656969
2021-11-19,-0.046446488116569845
2021-11-22,-0.04644648811656983
2021-11-23,-0.04644648811656971
2021-11-24,-0.04644648811656978
2021-11-26,-0.04644648811656986
2021-11-29,-0.04644648811656991
2021-11-30,-0.04644648811656973
2021-12-01,-0.04644648811656979
2021-12-02,-0.04644648811656987
2021-12-03,-0.04644648811656986
2021-12-06,-0.046446488116569866
2021-12-07,-0.04644648811656988
2021-12-08,-0.04644648811656977
2021-12-09,-0.04644648811656979
2021-12-10,-0.046446488116569845
2021-12-13,-0.04644648811656975
2021-12-14,-0.0464464881165698
2021-12-15,-0.04644648811656989
2021-12-16,-0.046446488116569776
2021-12-17,-0.046446488116569824
2021-12-20,-0.04644648811656982
2021-12-21,-0.04644648811656979
2021-12-22,-0.04644648811656979
2021-12-23,-0.046446488116569776
2021-12-27,-0.04644648811656972
2021-12-28,-0.04644648811656982
2021-12-29,-0.0464464881165698
2021-12-30,-0.04644648811656994
2021-12-31,-0.046446488116569824
2022-01-03,-0.04644648811656986
2022-01-04,-0.046446488116569734
2022-01-05,-0.04644648811656984
2022-01-06,-0.04644648811656976
2022-01-07,-0.04644648811656984
2022-01-10,-0.04644648811656995
2022-01-11,-0.04644648811656973
2022-01-12,-0.04644648811656984
2022-01-13,-0.04644648811656978
2022-01-14,-0.04644648811656979
2022-01-18,-0.046446488116569935
2022-01-19,-0.04644648811656973
2022-01-20,-0.046446488116569776
2022-01-21,-0.04644648811656983
2022-01-24,-0.04644648811656973
2022-01-25,-0.04644648811656976
2022-01-26,-0.0509136060144417
2022-01-27,-0.056621564915561313
2022-01-28,-0.05829251874886557
2022-01-31,-0.058292518748865436
2022-02-01,-0.058292518748865554
2022-02-02,-0.05829251874886557
2022-02-03,-0.05829251874886554
2022-02-04,-0.058292518748865596
2022-02-07,-0.05829251874886554
2022-02-08,-0.05829251874886559
2022-02-09,-0.058292518748865575
2022-02-10,-0.05829251874886547
2022-02-11,-0.058292518748865575
2022-02-14,-0.05829251874886557
2022-02-15,-0.05829251874886543
2022-02-16,-0.05829251874886559
2022-02-17,-0.058292518748865665
2022-02-18,-0.05829251874886557
2022-02-22,-0.05829251874886566
2022-02-23,-0.05846747004469513
2022-02-24,-0.06844690172921723
2022-02-25,-0.0684469017292172
2022-02-28,-0.06844690172921733
2022-03-01,-0.06844690172921715
2022-03-02,-0.0684469017292171
2022-03-03,-0.06844690172921707
2022-03-04,-0.06844690172921714
2022-03-07,-0.06844690172921718
2022-03-08,-0.07132966155516675
2022-03-09,-0.07132966155516694
2022-03-10,-0.07132966155516667
2022-03-11,-0.07157149275245216
2022-03-14,-0.07827845537533928
2022-03-15,-0.09056432319642024
2022-03-16,-0.09056432319642017
2022-03-17,-0.09056432319642033
2022-03-18,-0.09056432319642019
2022-03-21,-0.09056432319642026
2022-03-22,-0.09056432319642013
2022-03-23,-0.0905643231964202
2022-03-24,-0.09056432319642031
2022-03-25,-0.09056432319642037
2022-03-28,-0.09056432319642023
2022-03-29,-0.09056432319642027
2022-03-30,-0.09056432319642017
2022-03-31,-0.09056432319642022
2022-04-01,-0.09056432319642013
2022-04-04,-0.09056432319642023
2022-04-05,-0.09056432319642019
2022-04-06,-0.09056432319642026
2022-04-07,-0.09056432319642024
2022-04-08,-0.09056432319642015
2022-04-11,-0.09056432319642015
2022-04-12,-0.09056432319642022
2022-04-13,-0.09056432319642019
2022-04-14,-0.09056432319642017
2022-04-18,-0.09056432319642033
2022-04-19,-0.09056432319642013
2022-04-20,-0.09056432319642031
2022-04-21,-0.09056432319642027
2022-04-22,-0.09056432319642017
2022-04-25,-0.09852151627233147
2022-04-26,-0.09852151627233156
2022-04-27,-0.10788047638095238
2022-04-28,-0.10951138357654049
2022-04-29,-0.10951138357654047
2022-05-02,-0.11547995583401034
2022-05-03,-0.11688540978087299
2022-05-04,-0.11688540978087296
2022-05-05,-0.11688540978087307
2022-05-06,-0.12126482861444526
2022-05-09,-0.1280484961933022
2022-05-10,-0.14558452671817873
2022-05-11,-0.14558452671817856
2022-05-12,-0.14558452671817873
2022-05-13,-0.1470399924155376
2022-05-16,-0.1470399924155377
2022-05-17,-0.14703999241553767
2022-05-18,-0.1470399924155375
2022-05-19,-0.14703999241553767
2022-05-20,-0.14703999241553767
2022-05-23,-0.14703999241553756
2022-05-24,-0.14703999241553775
2022-05-25,-0.14703999241553772
2022-05-26,-0.14703999241553756
2022-05-27,-0.14703999241553767
2022-05-31,-0.14703999241553767
2022-06-01,-0.14703999241553767
2022-06-02,-0.14703999241553764
2022-06-03,-0.14703999241553772
2022-06-06,-0.14703999241553758
2022-06-07,-0.14703999241553764
2022-06-08,-0.1470399924155376
2022-06-09,-0.14703999241553772
2022-06-10,-0.14703999241553775
2022-06-13,-0.14703999241553772
2022-06-14,-0.17296259170145925
2022-06-15,-0.17688846496163949
2022-06-16,-0.17688846496163954
2022-06-17,-0.17688846496163946
2022-06-21,-0.1768884649616394
2022-06-22,-0.17688846496163957
2022-06-23,-0.17688846496163949
2022-06-24,-0.17688846496163954
2022-06-27,-0.17688846496163954
2022-06-28,-0.1768884649616395
2022-06-29,-0.17688846496163954
2022-06-30,-0.1768884649616395
2022-07-01,-0.1768884649616395
2022-07-05,-0.17688846496163957
2022-07-06,-0.17688846496163949
2022-07-07,-0.17688846496163954
2022-07-08,-0.17688846496163954
2022-07-11,-0.17688846496163954
2022-07-12,-0.17688846496163943
2022-07-13,-0.17688846496163946
2022-07-14,-0.1768884649616396
2022-07-15,-0.17783511582026001
2022-07-18,-0.17783511582026
2022-07-19,-0.17783511582026015
2022-07-20,-0.17783511582026001
2022-07-21,-0.17783511582026007
2022-07-22,-0.17783511582026004
2022-07-25,-0.17783511582026004
2022-07-26,-0.17783511582026015
2022-07-27,-0.17783511582026004
2022-07-28,-0.17783511582026
2022-07-29,-0.17783511582026007
2022-08-01,-0.17783511582026001
2022-08-02,-0.17783511582026007
2022-08-03,-0.17783511582026
2022-08-04,-0.1778351158202599
2022-08-05,-0.17783511582026001
